2203
idno,freehms,gincdif,lrscale,impcntr,euftf,group
11478,1,1,-0.4,1,0.6000000000000001,6
11529,-0.5,-0,0,-0.33333333333333326,0,2
11615,0.5,0.5,0.3999999999999999,0.33333333333333337,0.19999999999999996,2
11629,0.5,0.5,0.19999999999999996,0.33333333333333337,0.3999999999999999,2
11632,1,0.5,0.19999999999999996,0.33333333333333337,-0.19999999999999996,6
11652,-0,0.5,0,0.33333333333333337,-1,2
11737,1,-0,0,1,0.6000000000000001,1
11808,-0,0.5,0,0.33333333333333337,1,5
11836,0.5,0.5,0.8,0.33333333333333337,-0.19999999999999996,6
11838,1,-0.5,0,1,1,4
11839,1,0.5,0.3999999999999999,0.33333333333333337,0.19999999999999996,2
11898,1,1,0.19999999999999996,0.33333333333333337,0.8,5
11931,1,1,-0.6,1,0.6000000000000001,4
11950,1,-0.5,0,0.33333333333333337,0.3999999999999999,3
11984,-1,1,1,0.33333333333333337,1,2
12133,1,-0.5,-0.4,0.33333333333333337,0.6000000000000001,1
12140,0.5,0.5,0,0.33333333333333337,0,2
12168,1,0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,5
12179,0.5,0.5,0,0.33333333333333337,0.3999999999999999,6
12217,1,0.5,0.3999999999999999,0.33333333333333337,0.19999999999999996,2
12218,0.5,0.5,-0.4,-0.33333333333333326,0,2
12248,0.5,-0.5,0,0.33333333333333337,0.3999999999999999,3
12263,0.5,-0.5,0,0.33333333333333337,0.6000000000000001,2
12266,0.5,0.5,0,0.33333333333333337,0,6
12319,1,0.5,-0.6,0.33333333333333337,0.8,6
12389,0.5,0.5,0,-0.33333333333333326,1,2
12410,1,1,-1,1,1,5
12447,1,0.5,-0.19999999999999996,0.33333333333333337,-0.4,4
12454,1,-0,0.19999999999999996,-0.33333333333333326,0.3999999999999999,6
12482,1,0.5,0,1,0.6000000000000001,6
12502,1,0.5,-0.6,1,0,5
12505,1,-0,-0.19999999999999996,0.33333333333333337,0.6000000000000001,5
12514,-0,0.5,0.6000000000000001,1,-0.4,2
12566,0.5,0.5,0.6000000000000001,0.33333333333333337,0,5
12637,1,1,-0.4,1,1,6
12638,0.5,0.5,0,0.33333333333333337,0.19999999999999996,2
12650,-1,1,0,0.33333333333333337,0.6000000000000001,5
12664,1,-0,-0.19999999999999996,0.33333333333333337,0.6000000000000001,1
12688,0.5,0.5,-0.4,-1,0,3
12792,1,0.5,-0.19999999999999996,-0.33333333333333326,0.6000000000000001,2
12820,1,1,-0.19999999999999996,0.33333333333333337,1,5
12831,0.5,-0.5,0.19999999999999996,-0.33333333333333326,0.6000000000000001,3
12869,1,1,0,0.33333333333333337,0,2
12914,0.5,0.5,0.3999999999999999,-0.33333333333333326,-0.4,5
12981,0.5,-1,0,-0.33333333333333326,0,2
13001,1,0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,3
13095,0.5,0.5,0,0.33333333333333337,0.6000000000000001,4
13108,0.5,-0.5,0,-0.33333333333333326,-0.8,1
13128,0.5,1,-0.19999999999999996,0.33333333333333337,-0.6,5
13137,0.5,1,0,0.33333333333333337,-0.6,5
13155,0.5,0.5,-0.4,-0.33333333333333326,-1,2
13204,0.5,0.5,-0.4,1,0.19999999999999996,5
13231,1,0.5,-0.6,0.33333333333333337,0.3999999999999999,2
13246,0.5,0.5,0.3999999999999999,0.33333333333333337,0,6
13251,0.5,0.5,-0.4,-0.33333333333333326,-0.6,6
13315,1,1,0.3999999999999999,0.33333333333333337,0.6000000000000001,4
13343,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,2
13365,0.5,0.5,0.3999999999999999,-0.33333333333333326,1,3
13401,0.5,-0.5,0,0.33333333333333337,-0.4,2
13456,1,0.5,-0.6,1,1,1
13495,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,6
13528,0.5,-0,0.3999999999999999,0.33333333333333337,0.3999999999999999,5
13536,1,1,-0.4,0.33333333333333337,1,2
13581,1,-0.5,-0.4,0.33333333333333337,-0.6,2
13587,0.5,0.5,0.6000000000000001,-0.33333333333333326,0,1
13589,0.5,-0.5,0,-0.33333333333333326,-0.19999999999999996,3
13597,1,0.5,-0.4,0.33333333333333337,0.6000000000000001,6
13601,1,1,-0.4,1,0.3999999999999999,6
13634,-1,-0,0,1,0.19999999999999996,4
13640,1,0.5,-0.4,0.33333333333333337,1,6
13657,0.5,1,-1,-0.33333333333333326,0.6000000000000001,1
13730,0.5,1,-0.4,0.33333333333333337,0.8,6
13770,0.5,0.5,0.6000000000000001,-0.33333333333333326,0.6000000000000001,6
13780,1,0.5,0,1,1,4
13785,-1,-0,1,0.33333333333333337,0,2
13799,0.5,-0.5,0.19999999999999996,-0.33333333333333326,0.3999999999999999,2
13818,1,0.5,-0.19999999999999996,1,0.6000000000000001,3
13842,1,0.5,-0.4,1,0.19999999999999996,5
13882,0.5,-0.5,0.3999999999999999,-0.33333333333333326,0,2
13910,1,-0.5,-0.4,0.33333333333333337,0.6000000000000001,2
13930,1,-0,-0.19999999999999996,1,0.19999999999999996,2
13943,0.5,0.5,0.3999999999999999,0.33333333333333337,1,5
13977,0.5,0.5,0,0.33333333333333337,0,6
14125,0.5,-0.5,0.6000000000000001,-0.33333333333333326,0,3
14135,1,-0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,6
14150,1,-0,-0.4,1,1,6
14151,0.5,-0,0.19999999999999996,-0.33333333333333326,0,6
14172,1,0.5,-0.6,1,-0.19999999999999996,5
14185,0.5,-0,-0.4,0.33333333333333337,0,4
14189,0.5,-0.5,0.19999999999999996,0.33333333333333337,0.3999999999999999,2
14219,0.5,1,0,0.33333333333333337,0,5
14230,1,1,-0.4,0.33333333333333337,0,2
14250,1,-0.5,0,0.33333333333333337,1,1
14337,1,1,0.19999999999999996,-1,1,6
14342,1,-0.5,-0.4,0.33333333333333337,1,5
14385,1,0.5,-0.6,1,0.19999999999999996,1
14400,1,1,0.19999999999999996,-0.33333333333333326,-0.6,2
14453,1,0.5,-0.6,0.33333333333333337,1,5
14488,0.5,0.5,0,-0.33333333333333326,-0.19999999999999996,5
14508,1,0.5,-0.6,-0.33333333333333326,0.19999999999999996,5
14548,0.5,0.5,0,0.33333333333333337,0,3
14564,0.5,0.5,-0.4,0.33333333333333337,0.8,5
14597,1,-0,-0.4,0.33333333333333337,-0.19999999999999996,2
14719,1,1,-0.4,0.33333333333333337,0.6000000000000001,5
14740,1,1,0,-0.33333333333333326,-0.4,6
14780,0.5,0.5,0,1,-0.4,5
14786,0.5,-0,-0.19999999999999996,0.33333333333333337,1,2
